id,name,area,latitude,longitude,junction_id,junction_dst
1,Waterfront,Downtown,49.286075484422376,-123.11173815504947,2764,83.1807974533976
2,VCC - Clark,Strathcona,49.2657831984991,-123.07896225243121,4134,40.891648198725036
3,Olympic Village,Fairview,49.26634023249435,-123.11519667899394,2680,11.70488529834682
4,Broadway - City Hall,Mount Pleasant,49.262773467883484,-123.11478218139136,2698,49.252406157375134
5,King Edward,Riley Park,49.24912287838039,-123.11533610484715,2674,15.804376740649522
6,Burrard,Downtown,49.28586014917365,-123.11997233644202,2529,55.232795614309296
7,Marine Drive,Marpole,49.20954787392407,-123.11707077626738,2607,65.79224080438789
8,Granville,Downtown,49.28363768680059,-123.11640402719512,2635,2.218780311324023
9,Stadium - Chinatown,Downtown,49.279441691877636,-123.10956479630316,2841,83.47570615738945
10,Main Street - Science World,Downtown,49.27317791187965,-123.10060690768856,3271,62.52557296901714
11,29th Avenue,Renfrew-Collingwood,49.24424259217731,-123.04594067398634,5663,40.4652133575651
12,Joyce - Collingwood,Renfrew-Collingwood,49.23839380523484,-123.03180671710777,6209,16.028579132128687
13,Rupert,Renfrew-Collingwood,49.26076477791514,-123.03282383181416,6204,127.69971649000463
14,Renfrew,Renfrew-Collingwood,49.25889291082948,-123.04530845874768,5716,82.90721013645238
15,Commercial - Broadway,Grandview-Woodland,49.26293626736842,-123.06845389883729,4619,35.754562437988895
16,Waterfront,Downtown,49.28566576739238,-123.1133392689008,2764,46.57642445518993
17,Vancouver City Center,Downtown,49.28173470745285,-123.11928408921445,2515,56.71085039662032
19,Yaletown - Roundhouse,Downtown,49.2743622548375,-123.1218903777964,2404,26.20252670827552
20,Oakridge - 41st Avenue,Oakridge,49.23346681076931,-123.11604067532821,2641,12.653191386711006
21,Langara - 49th Avenue,Oakridge,49.22638691960162,-123.11632486084643,2627,32.88025458336662
22,Nanaimo,Renfrew-Collingwood,49.248272210616825,-123.05587151633279,5167,57.68067430566612
